Ind	Loci	LLR_4	LLR_5	LLR_6
1LF1_6158x2808	317	583.66484978047	0	14.7005672640219
1LF18_6158x2808	324	2769.37052050373	0	381.759269862091
1LF49_6158x2808	325	1819.68287738471	0	427.815604449541
1HF11_6158x2808	283	72.7128516886654	1.45125804950919	0
1HF21_6158x2808	320	1602.70887001815	0	134.576311838978
1HF26_6158x2808	323	1600.79410429424	0	434.136363187362
1HF35_6158x2808	325	2110.17460981741	0	380.903492015335
1HF39_6158x2808	325	2947.81777529818	0	480.817385529157
1HF44_6158x2808	325	2147.18127302742	0	397.114591054615
1HF50_6158x2808	325	1854.76624997104	0	533.13117272413
3HF9_6158x2808	324	3416.53539946931	0	873.598013791115
3HF16_6158x2808	323	1581.81199137332	0	145.427877293622
3HF19_6158x2808	323	1973.18430395451	0	504.14612919465
3HF32_6158x2808	324	1945.61834581727	0	203.367620342851
3HF40_6158x2808	321	1069.35690227984	0	179.679387800992
3LF36_6158x2808	325	2090.13064696642	0	591.962489796856
3LF50_6158x2808	325	2632.01558749046	0	710.421495195506
1LF29_6158x2E4C	198	3.64203676831755	0	1.14411204890678
1LF36_6158x2E4C	322	0	580.422382371034	216.248191234768
1HF4_6158x2E4C	325	0	1178.84098083389	948.560747965418
1HF16_6158x2E4C	322	0	747.020850399451	463.659234433292
1HF22_6158x2E4C	323	0	613.141833167533	165.577880411954
1HF24_6158x2E4C	325	0	815.54852037901	738.961434541513
1HF36_6158x2E4C	325	0	1003.87876211449	808.212689060622
1HF40_6158x2E4C	324	0	528.313543574011	305.043758874026
1HF42_6158x2E4C	325	0	1146.29358826515	680.190044601942
1HF48_6158x2E4C	312	343.832261432972	324.946850784528	0
2HF11_6158x2E4C	322	0	502.919435262707	392.905535517567
2HF13_6158x2E4C	325	0	1531.071808908	1095.45740635178
2HF15_6158x2E4C	325	0	543.102167287489	512.313148088786
2HF23_6158x2E4C	325	0	1174.59839770402	813.557846188849
2LF1_6158x2E4C	325	0	1375.32920106857	600.411823806446
3HF13_6158x2E4C	323	0	657.051096949201	614.951723879405
3HF17_6158x2E4C	325	0	499.792588226707	371.898687113109
3HF49_6158x2E4C	325	0	794.400613132972	181.417229522004
3LF1_6158x2E4C	320	0	260.032094363668	88.9943222548598
3LF18_6158x2E4C	321	0	140.352320219346	36.5446039006606
3LF48_6158x2E4C	137	0.183393196226916	0	0.00843557895825597
1LF11_6F6BxO610	322	154.637574110893	414.69863635037	0
1LF16_6F6BxO610	324	0	258.341600815259	303.540106093153
